names,min_players,max_players,avg_time,year,avg_rating,image_url,age,category,designer
Cosmic Encounter,3,5,120,2008,7.58087,https://cf.geekdo-images.com/original/img/SUTj4d_zo6bjXVhZOACmW5gvtBw=/0x0/pic1521633.jpg,12,"Bluffing, Negotiation, Science Fiction, Space Exploration","Bill Eberle, Jack Kittredge, Bill Norton, Peter Olotka, Kevin Wilson"
Paths of Glory,2,2,480,1999,8.00093,https://cf.geekdo-images.com/original/img/8NqdhJ1Dd-m3fWXWpu5pL3YanTk=/0x0/pic834645.jpg,14,"Wargame, World War I",Ted Raicer
Yokohama,2,4,90,2016,7.96173,https://cf.geekdo-images.com/original/img/fdm4AvDhEaQRj174dZvFtciHFrM=/0x0/pic2948038.png,12,Economic,Hisashi Hayashi
Grand Austria Hotel,2,4,120,2015,7.79448,https://cf.geekdo-images.com/original/img/4d_XZzAStbyODa6p8xhLyOpIMh8=/0x0/pic2728138.jpg,12,Economic,"Virginio Gigli, Simone Luciani"
Combat Commander: Europe,2,2,180,2006,7.90358,https://cf.geekdo-images.com/original/img/RLXqwj5cZa-0GEHpi6a4nwQt898=/0x0/pic992459.jpg,12,"Wargame, World War II",Chad Jensen
The Lord of the Rings: The Card Game,1,2,60,2011,7.63221,https://cf.geekdo-images.com/original/img/TdAxQnbevAwD1oQ91K1KPckgjTk=/0x0/pic906495.jpg,13,"Adventure, Card Game, Collectible Components, Fantasy, Novel-based",Nate French
Jaipur,2,2,30,2009,7.5322,https://cf.geekdo-images.com/original/img/I1nrFom8YN8H7wJFMRwj14Xl6MI=/0x0/pic725500.jpg,12,"Animals, Card Game",Sébastien Pauchon
Goa,2,4,90,2004,7.62115,https://cf.geekdo-images.com/original/img/ZO3q3cZqX_34C9i7MriB4u6txjk=/0x0/pic1215969.jpg,12,"Economic, Farming, Nautical, Renaissance",Rüdiger Dorn
Champions of Midgard,2,4,90,2015,7.78023,https://cf.geekdo-images.com/original/img/c1gxRcNaDdjeH8zpLYJEkDEYA5g=/0x0/pic2869714.jpg,10,"Adventure, Dice, Fantasy, Fighting, Medieval, Mythology",Ole Steiness
Hansa Teutonica,2,5,90,2009,7.63138,https://cf.geekdo-images.com/original/img/Y7bW8H1htsE2xOv87qIuPTsjiTo=/0x0/pic839090.jpg,12,Renaissance,Andreas Steding
Zombicide: Black Plague,1,6,180,2015,7.82289,https://cf.geekdo-images.com/original/img/vs4UlIiZ1p3k5yIJ_vlvd2N-474=/0x0/pic2482309.jpg,10,"Adventure, Fantasy, Fighting, Horror, Medieval, Miniatures, Zombies","Raphaël Guiton, Jean-Baptiste Lullien, Nicolas Raoult"
Ticket to Ride: Nordic Countries,2,3,60,2007,7.65653,https://cf.geekdo-images.com/original/img/GU-wGnipNb0UVXT9ebQBl86UrRk=/0x0/pic369616.jpg,8,"Trains, Transportation, Travel",Alan R. Moon
Village,2,4,90,2011,7.554,https://cf.geekdo-images.com/original/img/XJ9DcBvOYgoSSNLjx0GP4If8hms=/0x0/pic2760568.jpg,12,"Farming, Medieval","Inka Brand, Markus Brand"
Steam,3,5,90,2009,7.64316,https://cf.geekdo-images.com/original/img/Ss958wDZnMLtO5OaxR9Ya855rpU=/0x0/pic392515.jpg,10,"Economic, Trains, Transportation",Martin Wallace
Splendor,2,4,30,2014,7.50214,https://cf.geekdo-images.com/original/img/PgaVULm0QKeFV2zTro4hJEb70Yk=/0x0/pic1904079.jpg,10,"Card Game, Economic, Renaissance",Marc André
